predict_views,predict_replies,predict_views
"(0, 500]",7489746,7489746
"(500, 1000]",15320,15320
"(1000, 1500]",3165,3165
"(1500, 2000]",1049,1049
"(2000, 2500]",444,444
"(2500, 3000]",235,235
"(3000, 3500]",119,119
"(3500, 4000]",73,73
"(4000, 4500]",37,37
"(4500, 5000]",27,27
"(5000, 5500]",16,16
"(5500, 6000]",13,13
"(6000, 6500]",7,7
"(6500, 7000]",3,3
"(7000, 7500]",3,3
"(7500, 8000]",0,0
"(8000, 8500]",3,3
"(8500, 9000]",1,1
"(9000, 9500]",1,1
"(9500, 10000]",1,1
"(10000, 10500]",0,0
"(10500, 11000]",0,0
"(11000, 11500]",0,0
"(11500, 12000]",1,1
"(12000, 12500]",3,3
"(12500, 13000]",1,1
"(13000, 13500]",0,0
"(13500, 14000]",0,0
"(14000, 14500]",0,0
"(14500, 15000]",0,0
"(15000, 15500]",0,0
"(15500, 16000]",0,0
"(16000, 16500]",0,0
"(16500, 17000]",0,0
"(17000, 17500]",0,0
"(17500, 18000]",0,0
"(18000, 18500]",0,0
"(18500, 19000]",0,0
"(19000, 19500]",0,0
"(19500, 20000]",0,0
"(20000, 20500]",0,0
"(20500, 21000]",0,0
"(21000, 21500]",0,0
"(21500, 22000]",0,0
"(22000, 22500]",0,0
"(22500, 23000]",0,0
"(23000, 23500]",0,0
"(23500, 24000]",0,0
"(24000, 24500]",0,0
"(24500, 25000]",0,0
"(25000, 25500]",0,0
"(25500, 26000]",0,0
"(26000, 26500]",0,0
"(26500, 27000]",0,0
"(27000, 27500]",0,0
"(27500, 28000]",0,0
"(28000, 28500]",0,0
"(28500, 29000]",0,0
"(29000, 29500]",0,0
"(29500, 30000]",0,0
"(30000, 30500]",0,0
"(30500, 31000]",0,0
"(31000, 31500]",0,0
"(31500, 32000]",0,0
"(32000, 32500]",1,1
